id_tweet,views,created_at,conversation_id_str,full_text,possibly_sensitive,reply_count,retweet_count,favorite_count,is_blue_verified,default_profile,default_profile_image,description,fast_followers_count,favourites_count,followers_count,location,name,normal_followers_count,screen_name,verified,professional,integridade_usuario
1726745374314917898,1937,Thu Feb 03 05:28:32 +0000 2022,1726745374314917898,Saiu na imprensa  Sou acusado de racismo e de ter falado que o LULA é um ladrão  Então lá vai eu mais uma vez explicar os fatos https://t.co/jBfj9Z0WSV,False,26,46,211,True,True,False,Pai do Biel e da Nananda e deputado federal por Goiás 🇧🇷,0,2400,795772,"Goiânia, Brasil",Gustavo Gayer,795772,GayerGus,False,,7
1726734632656195872,22591,Sun Sep 23 16:31:08 +0000 2018,1726734632656195872,Até as putas estão putas com Lula! https://t.co/EZAYpS8w1M,False,95,118,775,True,True,False,Malandro é Malandro e Mané é Mané.        -Notícias -Comédia -Paródia -Ironia -Sátira ⚡ mspbra@getalby.com,0,22420,223672,Remoção/Sugestão DM 📩,MSP-Movimento Sem Picanha,223672,mspbra,False,,5
1726742698118262791,253,Tue Aug 31 03:17:54 +0000 2010,1726742698118262791,"O povo da Vila Renascer, na Extensão Apyterewa, continua sofrendo com os resultados da desintrusão orquestrada por Lula e Flávio Dino. Primeiro foi a proibição da entrada de alimento e combustível, agora não pode entrar ambulância para socorrer uma vítima de acidente. Revoltante! https://t.co/d42ZLvUpxN",False,1,24,33,False,True,False,"🇧🇷 Bolsonarista 🙏🏽 Advogado, patriota e cristão ⚠️ Deputado Estadual PL/Pará - Eleito em 2022 com 81.866 votos.",0,1851,4880,"Belém, Brasil",Rogério Barra 🇧🇷,4880,rogeriobarrapa,False,,4
1726705314395816163,26743,Wed Aug 26 19:21:04 +0000 2009,1726705314395816163,"Comentem aí, Gustavo Gayer na prisão?   Gayer foi denunciado ao Supremo Tribunal Federal por injúria contra Lula e por racismo contra o ministro dos Direitos Humanos, Silvio Almeida, além da população africana.   A PGR pede que o parlamentar seja condenado e perca o mandato. As…",False,304,275,1600,True,False,False,"Fiz O Globo, Combate, CQC, A Liga , Pânico e Morning Show. Comentarista do ICL notícias. Apelidado carinhosamente pelo Bolsonaro de Cérebro Mofado.",0,28468,450412,,GugaNoblat,450412,GugaNoblat,False,,6
1726730649988386932,717,Sat Sep 04 02:36:36 +0000 2010,1726730649988386932,#Lula e sua trupe de fora! https://t.co/2G8IX4X5wD,False,2,22,46,False,False,False,"Os princípios e valores cristãos, são imutáveis. A fé e a moral cristã, são inegociáveis. Deus, Família, Pátria e Liberdade.",0,149709,15428,"Brazil, Maragnon - Saint Louis",Brazil enDireita! 💎 🇧🇷 🇮🇱,15428,RonisBrazil,False,,5
1726698116043379016,60787,Mon Aug 03 18:24:01 +0000 2020,1726698116043379016,"ALEXANDRE de MORAES tem SANGUE nas MÃOS!  Janja, Lula, Dilmo, Bolsonaro 2026, Moraes, Boulos, Dino, Janones, Felipe Neto, Estadão, Folha, Fake News, O STF, Faz o L, CNN, Xandão, Tragédia https://t.co/eUgUhgN6yq",False,167,471,1342,True,True,False,"• Gay, Influencer e Analista Político (Amador) • YouTube: https://t.co/YGEvus9gxA • Zap: https://t.co/2xGwWJRYFt",0,15041,27303,"Campinas, SP, Brasil.",ENZUH 💪🇧🇷🏳️‍🌈,27303,ENZUH14,False,,5
1726707850452615395,8205,Mon Apr 23 01:43:29 +0000 2012,1726707850452615395,Lula só deve ligar para Milei depois que receber pedido de desculpas 😂😂😂😂😂😂😂😂😂😂😂😂 https://t.co/yhfU1TIk63,False,19,104,971,True,False,False,Jornalista https://t.co/uC2kwGMSC3 DEUS Pátria Família e Liberdade WhatsApp: https://t.co/AFknYOMAFT,0,37547,437114,"Guarulhos, Brasil",🇧🇷 VLOGDOLISBOA,437114,VlogdoLisboa,False,,6
1726740363795185668,1649,Thu Aug 09 18:55:49 +0000 2018,1726740363795185668,Gayer na cadeia e lula homofóbico https://t.co/ouRLykfOnY,False,3,3,19,False,True,False,yeshua hamashia,0,12404,1706,"Maricá, Brasil",Chaves.Neto yeshua hamashia,1706,ChavesNeto3,False,,4
1726713931841122393,19111,Tue Dec 21 02:48:42 +0000 2021,1726713931841122393,"URGENTE!!! PGR ACABA de pedir prisão e cassação do mandato de Gustavo Gayer por racismo e injúria.   A denúncia enviada ao STF é resposta à notícia-crime protocolada por declarações do deputado contra Lula, Silvio Almeida e população africana.   A PAPUDA LHE ESPERA!!! 🚔🚔 https://t.co/IodEV6rmwW",False,175,288,1457,True,True,False,"Conselheiro Municipal de Juventude - BH, Formado em Administração e #lulapresidente",0,1599,88066,"Belo Horizonte, Brasil",Pedro Rousseff,88066,p_rousseff,False,,5
1726721379448574248,6477,Tue Dec 22 10:48:13 +0000 2015,1726721379448574248,"Para guardar e recordar. Acompanhem os melhores trechos do discurso histórico de Milei, ontem, após a vitória.  Uma grande derrota para a esquerda, para o Foro de São Paulo, para Lula e para os déspotas do continente. E, claro, uma grande vitória da liberdade.⤵️ https://t.co/YxrfOOgXxR",False,9,107,421,False,False,False,Deputada Federal mais votada da história SC. Sim à liberdade! Sim à vida! Sim ao agro! Sim à Família! Sim ao Brasil!,0,1449,759544,"Chapecó, Brasil",Carol De Toni,759544,CarolDeToni,False,,3
